Temperature,Meeting Friends/Family (Indoor) High ,Meeting Friends/Family (Indoor) Moderate ,Meeting Friends/Family (Outdoor) High ,Meeting Friends/Family (Outdoor) Moderate ,Domestic Travel High ,Domestic Travel Moderate ,International Travel High ,International Travel Moderate ,Cafes and Restaurants High ,Cafes and Restaurants Moderate ,Pubs and Bars High ,Pubs and Bars Moderate ,Sports and Leisure High ,Sports and Leisure Moderate ,Hospitals/ Care and Nursing Home Visits High ,Hospitals/ Care and Nursing Home Visits Moderate ,Non-Essential Shops ,School Closure ,Rt<1
6.92,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,0
5.79,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,0
6.85,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
4.96,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,0
4.33,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,0
8.49,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,0
6.4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,0
8.85,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,0
9.77,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,0
10.84,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,0
10.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0
8.83,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,0
7.52,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,0
8.92,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,0
8.58,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
7.71,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,0
8.85,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,0
8.45,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,0
5.89,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,0
7.31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,0
10.86,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,0
11.04,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,0
9.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0
8.44,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,0
6.93,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,0
7.19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,0
8.23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0
7.52,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,0
10.37,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,0
5.78,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,0
5.96,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,0
6.94,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,0
5.91,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,0
9.93,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,0
8.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0
7.14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,0
5.91,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,0
6.56,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,0
8.06,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0
6.6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,0
6.01,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,0
5.38,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,0
7.04,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,0
8.21,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,0
4.92,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,0
8.57,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,0
8.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0
6.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,0
7.16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,0
5.73,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,0
7.4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0
5.44,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,0
4.15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,0
5.68,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,7,0
6.92,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,7,0
7.62,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,7,0
5.25,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,6,0
7.44,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,6,0
7.29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,0
5.06,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,6,0
7.65,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,0
5.73,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,0
7.25,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0
5.75,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,6,0
4.3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,7,0
3.76,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,7,0
4.83,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,7,0
5.42,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,7,0
3.66,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,6,0
5.34,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,7,0
4.9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,0
4.67,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,7,0
4.85,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,0
4.02,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,0
5.62,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0
4.19,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,6,0
2.12,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,7,0
5.24,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,7,0
6.08,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,7,0
6.42,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,7,0
6.54,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,6,0
7.36,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,7,0
7.56,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,0
6.89,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,7,0
5.55,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,0
4.75,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,0
6.23,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,0
5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,6,0
4.68,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,7,0
5.77,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,7,0
5.81,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,7,0
6.46,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,7,0
6.13,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,6,0
7.29,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,7,0
6.62,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,0
7.12,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,7,0
6.13,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,0
5.73,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,0
7.19,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,0
5.58,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,7,0
4.93,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,7,0
6.24,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,7,0
4.83,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,7,0
6.52,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,7,0
7.29,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,7,0
8.08,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,7,0
7.71,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,0
7.53,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,7,0
4.95,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,0
4.52,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,0
